SpecFile, BM1, BM2, BM3
./spec/models/source/cached_spec.rb, 26, 26, 26
./spec/models/source/human_spec.rb, 25, 25, 25
./spec/models/source_spec.rb, 26, 26, 25
./spec/models/source/verbatim_spec.rb, 26, 24, 23
./spec/models/specimen_spec.rb, 24, 23, 23
./spec/models/sqed_depiction_spec.rb, 25, 25, 24
./spec/models/tagged_section_keyword_spec.rb, 24, 23, 23
./spec/models/tag_spec.rb, 25, 25, 25
./spec/models/taxon_determination_spec.rb, 24, 24, 23
./spec/models/taxon_name_author_spec.rb, 21, 21, 21
./spec/models/taxon_name_classification_spec.rb, 27, 27, 28
./spec/models/taxon_name_relationship/combination_spec.rb, 23, 23, 23
./spec/models/taxon_name_relationship/hybrid_spec.rb, 25, 24, 25
./spec/models/taxon_name_relationship/original_combination_spec.rb, 24, 23, 23
./spec/models/taxon_name_relationship_spec.rb, 100, 98, 100
./spec/models/taxon_name_spec.rb, 76, 76, 78
./spec/models/taxon_name_specs/authorship_spec.rb, 25, 25, 25
./spec/models/taxon_name_specs/awesome_nested_set_spec.rb, 26, 25, 26
./spec/models/taxon_name_specs/basic_protonym_spec.rb, 24, 24, 25
./spec/models/taxon_name_specs/cached_spec.rb, 60, 60, 59
./spec/models/taxon_name_specs/gender_spec.rb, 29, 29, 29
./spec/models/topic_spec.rb, 23, 23, 23
./spec/models/type_material_spec.rb, 31, 30, 31
./spec/models/user/preferences_spec.rb, 23, 23, 24
./spec/models/user_spec.rb, 25, 25, 25
./spec/models/vendor/papertrail_spec.rb, 24, 23, 23
./spec/routing/alternate_values_routing_spec.rb, 22, 21, 21
./spec/routing/asserted_distributions_routing_spec.rb, 22, 21, 22
./spec/routing/attributions_routing_spec.rb, 21, 22, 21
./spec/routing/biocuration_classifications_routing_spec.rb, 22, 21, 22
./spec/routing/citations_routing_spec.rb, 21, 22, 21
./spec/routing/citation_topics_routing_spec.rb, 22, 21, 22
./spec/routing/collecting_events_routing_spec.rb, 21, 21, 22
./spec/routing/collection_object_observations_routing_spec.rb, 21, 22, 21
./spec/routing/collection_objects_routing_spec.rb, 22, 21, 21
./spec/routing/collection_profiles_routing_spec.rb, 22, 21, 22
./spec/routing/common_names_routing_spec.rb, 22, 21, 21
./spec/routing/confidences_routing_spec.rb, 22, 22, 21
./spec/routing/contents_routing_spec.rb, 22, 21, 22
./spec/routing/controlled_vocabulary_terms_routing_spec.rb, 21, 21, 22
./spec/routing/crash_test_routing_spec.rb, 22, 21, 22
./spec/routing/data_attributes_routing_spec.rb, 21, 22, 21
./spec/routing/depictions_routing_spec.rb, 22, 21, 22
./spec/routing/descriptors_routing_spec.rb, 21, 22, 21
./spec/routing/documentation_routing_spec.rb, 22, 21, 22
./spec/routing/documents_routing_spec.rb, 21, 22, 21
./spec/routing/extracts_routing_spec.rb, 22, 21, 22
./spec/routing/gene_attributes_routing_spec.rb, 21, 22, 21
./spec/routing/geographic_areas_geographic_items_routing_spec.rb, 22, 21, 22
./spec/routing/geographic_areas_routing_spec.rb, 21, 22, 21
./spec/routing/geographic_area_types_routing_spec.rb, 22, 21, 22
./spec/routing/geographic_items_routing_spec.rb, 21, 22, 22
./spec/routing/georeferences_routing_spec.rb, 21, 22, 21
./spec/routing/identifiers_routing_spec.rb, 21, 22, 21
./spec/routing/images_routing_spec.rb, 22, 22, 21
