taxonID,vernacularName,language
1155728,"Plateau Sallfly","English"
1155731,"Willow Sallfly","English"
1155735,"Alaska Sallfly","English"
1155763,"Piedmont Sallfly","English"
1155764,"Fog Sallfly","English"
1155768,"Yosemite Sallfly","English"
1155769,"Loess Sallfly","English"
1155770,"Quadrate Sallfly","English"
1155771,"Least Sallfly","English"
1155785,"Margined Sallfly","English"
1155787,"Spiny Sallfly","English"
1155792,"Vermont Sallfly","English"
1155816,"Rough Sallfly","English"
1155817,"Striped Sallfly","English"
1155818,"Great Basin Sallfly","English"
1155819,"Wallowa Sallfly","English"
1155839,"Salish Sallfly","English"
1155840,"Curious Sallfly","English"
1155841,"Sierra Sallfly","English"
1155842,"Gallatin Sallfly","English"
1155843,"Mono Sallfly","English"
1155844,"Forceps Sallfly","English"
1155845,"Yellow Sallfly","English"
1155847,"Pale Sallfly","English"
1155848,"Tulare Sallfly","English"
1155849,"Autumn Sallfly","English"
1155852,"Lined Sallfly","English"
1155853,"York Sallfly","English"
1155857,"Larimide Sallfly","English"
1155867,"Summer stoneflies","English"
1155873,"Stones","English"
1155920,"Spiny Stone","English"
1155921,"Slippery Stone","English"
1155922,"Choctaw Stone","English"
1155925,"Coosa Stone","English"
1155928,"Homochitto Stone","English"
1155936,"Curved Stone","English"
1155945,"Ohio Stone","English"
1155950,"Arkansas Stone","English"
1155951,"Amber Stone","English"
1155973,"Maine Stone","English"
1155987,"Atlantic Stone","English"
1155991,"Osage Stone","English"
1156010,"Slender Stone","English"
1156051,"Multispine Stone","English"
1156091,"Coastal Stone","English"
1156274,"Shortwing Stone","English"
1156310,"Southern Stone","English"
1156311,"Midwestern Stone","English"
1156313,"Northern Stone","English"
1156419,"Smoky Stone","English"
1156420,"Widecollar Stone","English"
1156421,"Beautiful Stone","English"
1156426,"Pallid Stone","English"
1156430,"Embossed Stone","English"
1156642,"Stones","English"
1156843,"Mexican Stone","English"
1156956,"Redrock Stone","English"
1157140,"Eastern Stone","English"
1157143,"Strawberry Stone","English"
1157144,"Ornate Stone","English"
1157145,"Shawnee Stone","English"
1157150,"Common Stone","English"
1157154,"Elegant Stone","English"
1157156,"Carolina Stone","English"
1157158,"Constricted Stone","English"
1157161,"Illinois Stone","English"
1157162,"Manassas Stone","English"
1157163,"Central Stone","English"
1157166,"Kentucky Stone","English"
1157167,"Lobed Stone","English"
1157168,"Virginia Stone","English"
1157169,"Boreal Stone","English"
1157178,"Ozark Stone","English"
1157179,"Enigmatic Stone","English"
1157180,"Etowah Stone","English"
1157193,"Giant Stone","English"
1157198,"Georgia Stone","English"
1157199,"Cheaha Stone","English"
1157200,"Piedmont Stone","English"
1157211,"Western Stone","English"
1157220,"Montana Stone","English"
1157221,"Cascades Stone","English"
1157223,"Yellow Stone","English"
1157248,"Golden Stone","English"
1157255,"Banded Stone","English"
1157287,"Freckled Stone","English"
1157290,"Anna Stone","English"
1157291,"Dragon Run Stone","English"
1157292,"Shawnee Stone","English"
1157293,"Dakota Stone","English"
1157294,"Harpeth Stone","English"
1157295,"Two-lined Stone","English"
1157296,"Tiny Stone","English"
1157297,"Teays Stone","English"
1157299,"Pawnee Stone","English"
1157300,"Adena Stone","English"
1157301,"Darkwing Stone","English"
1157302,"Truncate Stone","English"
1157303,"Toothed Stone","English"
1157305,"Blueridge Stone","English"
1157306,"Tinted Stone","English"
1157307,"Gulf Stone","English"
1157308,"Pale Stone","English"
1157309,"Cloudy Stone","English"
1157311,"Sandhills Stone","English"
1157312,"Anomalous Stone","English"
1157313,"Nottaway Stone","English"
1157314,"Widespread Stone","English"
1157318,"Plains Stone","English"
1157319,"Swamp Stone","English"
1157320,"Barbeque Stone","English"
1157321,"Wabash Stone","English"
1157322,"New York Stone","English"
1157323,"Raft Swamp Stone","English"
1157326,"Appalachian Stone","English"
1157327,"Alabama Stone","English"
1157328,"Splendid Stone","English"
1157330,"Striped Stone","English"
1157333,"Vernal Stone","English"
1157337,"Blackwater Stone","English"
1157347,"Spring stoneflies","English"
1157353,"Springflies","English"
1157378,"Painted Springfly","English"
1157387,"Rainier Springfly","English"
1157389,"Larimide Springfly","English"
1157390,"Truncate Springfly","English"
1157391,"Glacier Springfly","English"
1157392,"Yosemite Springfly","English"
1157401,"Gilltail Springfly","English"
1157403,"Longgill Springfly","English"
1157408,"Alberta Springfly","English"
1157409,"Olympic Springfly","English"
1157411,"Wahkeena Springfly","English"
1157413,"Bighead Springfly","English"
1157415,"Holarctic Springfly","English"
1157421,"American Springfly","English"
1157423,"Curved Springfly","English"
1157436,"Hairy Springfly","English"
1157439,"Beautiful Springfly","English"
1157449,"Pacific Springfly","English"
1157459,"Lapland Springfly","English"
1157468,"Nearctic Springfly","English"
1157469,"Arctic Springfly","English"
1157495,"Ozark Springfly","English"
1157496,"Masked Springfly","English"
1157497,"Vernal Springfly","English"
1157502,"Early Springfly","English"
1157503,"Austin Springfly","English"
1157505,"Brownwater Springfly","English"
1157506,"Tennessee Springfly","English"
1157511,"Hudsonian Springfly","English"
1157513,"Blackfoot Springfly","English"
1157516,"Indiana Springfly","English"
1157518,"Elongate Springfly","English"
1157519,"Appalachian Springfly","English"
1157520,"Olive Springfly","English"
1157522,"Rock Island Springfly","English"
1157523,"Zion Springfly","English"
1157533,"Brook Springfly","English"
1157534,"Iroquois Springfly","English"
1157579,"Greenbrier Springfly","English"
1157580,"Frogtown Springfly","English"
1157581,"Watauga Springfly","English"
1157582,"Highlands Springfly","English"
1157585,"Alameda Springfly","English"
1157595,"Vedder Springfly","English"
1157596,"Sumner Springfly","English"
1157598,"Toston Springfly","English"
1157599,"Spiny Springfly","English"
1157601,"Great Lakes Springfly","English"
1157602,"Southern Springfly","English"
1157604,"Two-lobed Springfly","English"
1157605,"Kanawhole Springfly","English"
1157606,"Virginia Springfly","English"
1157607,"Robust Springfly","English"
1157612,"Smooth Springfly","English"
1157613,"Sickle Springfly","English"
1157616,"Yakima Springfly","English"
1157621,"Autumn Springfly","English"
1157622,"Talol Springfly","English"
1157627,"Lash Springfly","English"
1157628,"Georgia Springfly","English"
1157629,"Blue Ridge Springfly","English"
1157631,"Palestripe Springfly","English"
1157638,"Stripetails","English"
1157641,"Cosumnes Stripetail","English"
1157642,"Sequoia Stripetail","English"
1157644,"Coast Stripetail","English"
1157646,"Cascades Stripetail","English"
1157648,"Clio Stripetail","English"
1157651,"Two-lined Stripetail","English"
1157652,"Muir Stripetail","English"
1157655,"Fresno Stripetail","English"
1157656,"Arroyo Stripetail","English"
1157662,"California Stripetail","English"
1157663,"Smokies Stripetail","English"
1157664,"Forked Stripetail","English"
1157668,"Banded Stripetail","English"
1157672,"Rare Stripetail","English"
1157673,"Ontario Stripetail","English"
1157674,"Coushatta Stripetail","English"
1157677,"Alabama Stripetail","English"
1157679,"Yellow Stripetail","English"
1157680,"Bear Lake Stripetail","English"
1157681,"Angeles Stripetail","English"
1157682,"Sable Stripetail","English"
1157683,"Twisted Stripetail","English"
1157684,"Crescent Stripetail","English"
1157689,"Northeastern Stripetail","English"
1157690,"Wisconsin Stripetail","English"
1157693,"Western Stripetail","English"
1157696,"Waterton Stripetail","English"
1157697,"Quebec Stripetail","English"
1157698,"Olympia Stripetail","English"
1157700,"Pale Stripetail","English"
1157702,"Texas Stripetail","English"
1157703,"Grande Stripetail","English"
1157704,"Katmai Stripetail","English"
1157705,"Dark Stripetail","English"
1157708,"Plains Stripetail","English"
1157710,"Big Stripetail","English"
1157711,"Midwestern Stripetail","English"
1157712,"Red Stripetail","English"
1157713,"Minnesota Stripetail","English"
1157715,"Miwok Stripetail","English"
1157716,"Illinois Stripetail","English"
1157717,"Montane Stripetail","English"
1157718,"Mormon Stripetail","English"
1157722,"Ozark Stripetail","English"
1157723,"Least Stripetail","English"
1157728,"Colorless Stripetail","English"
1157731,"Ouachita Stripetail","English"
1157732,"Springs Stripetail","English"
1157734,"Rockies Stripetail","English"
1157735,"Checkered Stripetail","English"
1157738,"Fivespot Stripetail","English"
1157741,"Rainier Stripetail","English"
1157745,"Sterling Stripetail","English"
1157746,"Rogue Stripetail","English"
1157747,"Arrowhead Stripetail","English"
1157749,"Transverse Stripetail","English"
1157751,"Black Stripetail","English"
1157752,"Colorful Stripetail","English"
1157754,"Colorado Stripetail","English"
1157756,"Notched Stripetail","English"
1157759,"Magazine Stripetail","English"
1157760,"Oregon Stripetail","English"
1157762,"Boreal Stripetail","English"
1157772,"Humboldt Stripetail","English"
1157783,"Natchez Trace Stripetail","English"
1157931,"Roach stoneflies","English"
1157931,"Roachflies","English"
1157976,"Appalachian Roachfly","English"
1157978,"Virginia Roachfly","English"
1157995,"Giant Roachfly","English"
1157997,"Skamania Roachfly","English"
1157998,"Clearwater Roachfly","English"
1157999,"Hood Roachfly","English"
1158000,"Rainier Roachfly","English"
1158001,"Four-spined Roachfly","English"
1158002,"Sierra Roachfly","English"
1158003,"California Roachfly","English"
1158004,"Tillamook Roachfly","English"
1158006,"Common Roachfly","English"
1158008,"Highlands Roachfly","English"
1158009,"Lobed Roachfly","English"
1158010,"Piedmont Roachfly","English"
1158011,"Southeastern Roachfly","English"
1158012,"Yellow Roachfly","English"
1158013,"Carolina Roachfly","English"
1158015,"Pallid Roachfly","English"
1158018,"Brown Roachfly","English"
1158020,"Least Roachfly","English"
1158022,"Coastal Roachfly","English"
1158024,"Black Roachfly","English"
1158025,"Salmonflies","English"
1158030,"Dwarf Salmonfly","English"
1158031,"Least Salmonfly","English"
1158035,"Appalachian Salmonfly","English"
1158037,"Knobbed Salmonfly","English"
1158039,"Spiny Salmonfly","English"
1158044,"Carolina Salmonfly","English"
1158045,"American Salmonfly","English"
1158054,"Giant Salmonfly","English"
1158056,"Midwestern Salmonfly","English"
1158057,"Ebony Salmonfly","English"
