taxonID,typeStatus,scientificName,sex,locality,verbatimLatitude,verbatimLongitude,institutionCode,catalogNumber,recordedBy,verbatimEventDate,typeDesignatedBy
1152832,"typeSpecies","Dundundra baiame Theischinger, 1982",,,,,,,,,"Theischinger. 1982. New and little known dinotoperline stoneflies from Australia (Insecta: Plecoptera: Gripopterygidae). Memoirs of the Queensland Museum (Mem.Queensl.Mus.) 20(3):509"
1152834,"typeSpecies","Nescioperla curtisae Theischinger, 1982",,,,,,,,,"Theischinger. 1982. New and little known dinotoperline stoneflies from Australia (Insecta: Plecoptera: Gripopterygidae). Memoirs of the Queensland Museum (Mem.Queensl.Mus.) 20(3):511"
1152836,"typeSpecies","Nydyse luddermannia Navás, 1933",,,,,,,,,"Navás. 1933. Insecta orientalia. XII Series. Memorie dell'Accademia Pontifica dei Nuovi Lincei, Rome (Mem. Pont. Accad. Nuovi Lincei) 2 17:85"
1152841,"typeSpecies","Perla (Chloroperla) opposita Walker, 1852",,,,,,,,,"Tillyard. 1921. A new classification of the order Perlaria. Canadian Entomologist (Canad. Ent.) 53:171"
1152881,"typeSpecies","Alfonsoperla flinti McLellan & Zwick, 2007",,,,,,,,,"McLellan & Peter Zwick. 2007. New species of and keys to South American Gripopterygidae (Plecoptera)  . Illiesia: International Journal of Stonefly Research (Illiesia) 3(4):24"
1152884,"typeSpecies","Notoperlopsis femina Illies, 1963",,,,,,,,,"Illies. 1963. Revision der südamerikanischen Gripopterygidae (Plecoptera). Mitteilungen der Schweizerischen Entomologischen Gesellschaft (Mitt. Schweiz. ent. Ges.) 36:161"
1152887,"typeSpecies","Zelandoperla decorata Tillyard, 1923",,,,,,,,,"Tillyard. 1923. The stone-flies of New Zealand (Order Perlaria), with descriptions of new genera and species. Article 18. Transactions of the New Zealand Institute (Trans. New Zeal. Inst.) 54(18):197-217"
1152895,"typeSpecies","Apteryoperla campbelli Illies, 1963",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):264"
1152899,"typeSpecies","Leptoperla grandis Hudson, 1913",,,,,,,,,"Tillyard. 1923. The stone-flies of New Zealand (Order Perlaria), with descriptions of new genera and species. Article 18. Transactions of the New Zealand Institute (Trans. New Zeal. Inst.) 54(18):197-217"
1152903,"typeSpecies","Nesoperla spiniger Tillyard, 1923",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):210"
1152909,"typeSpecies","Apteryoperla monticola Wisely, 1953",,,,,,,,,"Wisely. 1953. Two wingless alpine stoneflies (Order Plecoptera) from southern New Zealand. Bulletin Rec. Cant. Museum (Bull. Rec. Cant. Mus.) 6(3):219-231"
1152916,"typeSpecies","Aucklandobius complementarius Enderlein, 1909",,,,,,,,,"Enderlein. 1909. Über die Plecopteren-Subfamilie Antarctoperline und eine neue Gattung derselben von den Auckland-Inseln. 18. Beitrag zur Kenntnis der antarktischen Fauna. Deutsche Entomologische Zeitschrift (Dtsch.Entomol.Z.) 1909:682"
1152921,"typeSpecies","Apteryoperla angularis Wisely, 1953",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):119-147"
1152926,"typeSpecies","Leptoperla fulvescens Hare, 1910",,,,,,,,,"Tillyard. 1923. The stone-flies of New Zealand (Order Perlaria), with descriptions of new genera and species. Article 18. Transactions of the New Zealand Institute (Trans. New Zeal. Inst.) 54(18):29"
1152930,"typeSpecies","Rakiuraperla nudipes McLellan, 1977",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):119-147"
1152932,"typeSpecies","Nesoperla howesi Tillyard, 1923",,,,,,,,,"McLellan. 1998. A revision of Acroperla (Plecoptera: Zelandoperlinae) and removal of species to Taraperla new genus. New Zealand Journal of Zoology (N. Z. J. Zool.) 25:209"
1152938,"typeSpecies","Falklandoperla kelper McLellan, 2001",,,,,,,,,"McLellan. 2001. Falklandoperla kelper new genus and species of Gripopterygidae (Plecoptera) from the Falkland Islands. Aquatic Insects 23:156"
1152940,"typeSpecies","Eunotoperla kershawi Tillyard, 1924",,,,,,,,,"McLellan. 1971. A Revision of Australian Gripopterygidae (Insecta: Plecoptera). Australian Journal of Zoology Supplementary Series (Aust. J. Zool. Suppl.) 2:1-79"
1152942,"typeSpecies","Capnia (Gripopteryx) cancellata Pictet, 1841",,,,,,,,,"Pictet, François Jules. 1841. Familie des Perlides. Histoire naturelle générale et particulière des insectes névroptères, J. Kessmann etc.,, Genève 1:328"
1152943,"typeSpecies","Gripoptera brasiliensis Šámal, 1921",,,,,,,,,"Šámal. 1921. Plécoptères Sud-Américains nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 61:109-112"
1152964,"typeSpecies","Neopentura semifusca Illies, 1965",,,,,,,,,"Illies. 1965. Neue Plecopteren aus Chile und Argentinen. Mitteilungen der Schweizerischen Entomologischen Gesellschaft (Mitt. Schweiz. ent. Ges.) 37:156"
